year,conf,WTeamName,WScore,LTeamName,LScore
2023,B1G,Northwestern,24,Wisconsin,10
2023,B1G,Michigan_St,24,Indiana,21
2023,B1G,Michigan,31,Maryland,24
2023,B1G,Ohio_St,37,Minnesota,3
2023,B1G,Penn_St,27,Rutgers,6
2023,B1G,Iowa,15,Illinois,13
2023,B1G,Northwestern,23,Purdue,15
2023,B1G,Wisconsin,24,Nebraska,17
2023,B1G,Iowa,13,Nebraska,10
2023,B1G,Penn_St,42,Michigan_St,0
2023,B1G,Michigan,30,Ohio_St,24
2023,B1G,Purdue,35,Indiana,31
2023,B1G,Maryland,42,Rutgers,24
2023,B1G,Northwestern,45,Illinois,43
2023,B1G,Wisconsin,28,Minnesota,14
2023,B1G,Michigan,26,Iowa,0
2023,Big12,TCU,36,Houston,13
2023,Big12,Oklahoma,20,Cincinnati,6
2023,Big12,West_Virginia,20,Texas_Tech,13
2023,Big12,Texas,38,Baylor,6
2023,Big12,Iowa_St,34,Oklahoma_St,27
2023,Big12,Kansas,38,BYU,27
2023,Big12,Kansas_St,44,UCF,31
2023,Big12,BYU,35,Cincinnati,27
2023,Big12,Baylor,36,UCF,35
2023,Big12,Oklahoma,50,Iowa_St,20
2023,Big12,West_Virginia,24,TCU,21
2023,Big12,Texas,40,Kansas,14
2023,Big12,Texas_Tech,49,Houston,28
2023,Big12,Oklahoma_St,29,Kansas_St,21
2023,Big12,Texas_Tech,39,Baylor,14
2023,Big12,Iowa_St,27,TCU,14
2023,Big12,Kansas,51,UCF,22
2023,Big12,Oklahoma,34,Texas,30
2023,Big12,Houston,41,West_Virginia,39
2023,Big12,Iowa_St,30,Cincinnati,10
2023,Big12,Oklahoma_St,39,Kansas,32
2023,Big12,TCU,44,BYU,11
2023,Big12,Kansas_St,38,Texas_Tech,21
2023,Big12,Baylor,32,Cincinnati,29
2023,Big12,Oklahoma_St,48,West_Virginia,34
2023,Big12,Texas,31,Houston,24
2023,Big12,Kansas_St,41,TCU,3
2023,Big12,Oklahoma,31,UCF,29
2023,Big12,BYU,27,Texas_Tech,14
2023,Big12,West_Virginia,41,UCF,28
2023,Big12,Iowa_St,30,Baylor,18
2023,Big12,Kansas,38,Oklahoma,33
2023,Big12,Kansas_St,41,Houston,0
2023,Big12,Oklahoma_St,45,Cincinnati,13
2023,Big12,Texas,35,BYU,6
2023,Big12,Texas_Tech,35,TCU,28
2023,Big12,UCF,28,Cincinnati,26
2023,Big12,West_Virginia,37,BYU,7
2023,Big12,Houston,25,Baylor,24
2023,Big12,Kansas,28,Iowa_St,21
2023,Big12,Oklahoma_St,27,Oklahoma,24
2023,Big12,Texas,33,Kansas_St,30
2023,Big12,UCF,45,Oklahoma_St,3
2023,Big12,Cincinnati,24,Houston,14
2023,Big12,Texas_Tech,16,Kansas,13
2023,Big12,Kansas_St,59,Baylor,25
2023,Big12,Oklahoma,59,West_Virginia,20
2023,Big12,Texas,29,TCU,26
2023,Big12,Iowa_St,45,BYU,13
2023,Big12,West_Virginia,42,Cincinnati,21
2023,Big12,Oklahoma_St,43,Houston,30
2023,Big12,Texas,26,Iowa_St,16
2023,Big12,Kansas_St,31,Kansas,27
2023,Big12,TCU,42,Baylor,17
2023,Big12,Texas_Tech,24,UCF,23
2023,Big12,Oklahoma,31,BYU,24
2023,Big12,Oklahoma,69,TCU,45
2023,Big12,Texas,57,Texas_Tech,7
2023,Big12,Kansas,49,Cincinnati,16
2023,Big12,UCF,27,Houston,13
2023,Big12,West_Virginia,34,Baylor,31
2023,Big12,Iowa_St,42,Kansas_St,35
2023,Big12,Oklahoma_St,40,BYU,34
2023,Big12,Texas,49,Oklahoma_St,21
2023,SEC,Florida,29,Tennessee,16
2023,SEC,Georgia,24,South_Carolina,14
2023,SEC,LSU,41,Mississippi_St,14
2023,SEC,South_Carolina,37,Mississippi_St,30
2023,SEC,Alabama,24,Mississippi,10
2023,SEC,LSU,34,Arkansas,31
2023,SEC,Texas_A&M,27,Auburn,10
2023,SEC,Kentucky,45,Vanderbilt,28
2023,SEC,Kentucky,33,Florida,14
2023,SEC,Tennessee,41,South_Carolina,20
2023,SEC,Texas_A&M,34,Arkansas,22
2023,SEC,Georgia,27,Auburn,20
2023,SEC,Alabama,40,Mississippi_St,17
2023,SEC,Mississippi,55,LSU,49
2023,SEC,Missouri,38,Vanderbilt,21
2023,SEC,Florida,38,Vanderbilt,14
2023,SEC,Georgia,51,Kentucky,13
2023,SEC,LSU,49,Missouri,39
2023,SEC,Mississippi,27,Arkansas,20
2023,SEC,Alabama,26,Texas_A&M,20
2023,SEC,Missouri,38,Kentucky,21
2023,SEC,Florida,41,South_Carolina,39
2023,SEC,Tennessee,20,Texas_A&M,13
2023,SEC,Alabama,24,Arkansas,21
2023,SEC,LSU,48,Auburn,18
2023,SEC,Georgia,37,Vanderbilt,20
2023,SEC,Alabama,34,Tennessee,20
2023,SEC,Mississippi_St,7,Arkansas,3
2023,SEC,Mississippi,28,Auburn,21
2023,SEC,Missouri,34,South_Carolina,12
2023,SEC,Georgia,43,Florida,20
2023,SEC,Tennessee,33,Kentucky,27
2023,SEC,Auburn,27,Mississippi_St,13
2023,SEC,Mississippi,33,Vanderbilt,7
2023,SEC,Texas_A&M,30,South_Carolina,17
2023,SEC,Arkansas,39,Florida,36
2023,SEC,Georgia,30,Missouri,21
2023,SEC,Alabama,42,LSU,28
2023,SEC,Kentucky,24,Mississippi_St,3
2023,SEC,Mississippi,38,Texas_A&M,35
2023,SEC,Auburn,31,Vanderbilt,15
2023,SEC,Georgia,52,Mississippi,17
2023,SEC,Alabama,49,Kentucky,21
2023,SEC,South_Carolina,47,Vanderbilt,6
2023,SEC,Auburn,48,Arkansas,10
2023,SEC,LSU,52,Florida,35
2023,SEC,Missouri,36,Tennessee,7
2023,SEC,Texas_A&M,51,Mississippi_St,10
2023,SEC,South_Carolina,17,Kentucky,14
2023,SEC,Georgia,38,Tennessee,10
2023,SEC,Missouri,33,Florida,31
2023,SEC,Mississippi,17,Mississippi_St,7
2023,SEC,Missouri,48,Arkansas,14
2023,SEC,Tennessee,48,Vanderbilt,24
2023,SEC,Alabama,27,Auburn,24
2023,SEC,LSU,42,Texas_A&M,30
2023,SEC,Alabama,27,Georgia,24
2023,PAC12,USC,56,Stanford,10
2023,PAC12,Utah,14,UCLA,7
2023,PAC12,USC,42,Arizona_St,28
2023,PAC12,Oregon,42,Colorado,6
2023,PAC12,Arizona,21,Stanford,20
2023,PAC12,Washington,59,California,32
2023,PAC12,Washington_St,38,Oregon_St,35
2023,PAC12,Oregon_St,21,Utah,7
2023,PAC12,USC,48,Colorado,41
2023,PAC12,Washington,31,Arizona,24
2023,PAC12,California,24,Arizona_St,21
2023,PAC12,Oregon,42,Stanford,6
2023,PAC12,Colorado,27,Arizona_St,24
2023,PAC12,Oregon_St,52,California,40
2023,PAC12,UCLA,25,Washington_St,17
2023,PAC12,USC,43,Arizona,41
2023,PAC12,Stanford,46,Colorado,43
2023,PAC12,Utah,34,California,14
2023,PAC12,Oregon_St,36,UCLA,24
2023,PAC12,Washington,36,Oregon,33
2023,PAC12,Arizona,44,Washington_St,6
2023,PAC12,Oregon,38,Washington_St,24
